sensor,timestamp,moisture,below_30,day_of_week,hour_of_day,month,year,time_of_day
sensor1,2024-01-02 22:31:24.428496,0.09,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:24.428496,0.36,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:24.428496,0.92,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:24.428496,0.72,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:25.433177,0.34,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:25.433177,0.48,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:25.433177,0.24,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:25.433177,0.85,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:26.439942,0.86,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:26.439942,0.66,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:26.439942,0.07,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:26.439942,0.51,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:27.447681,0.95,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:27.447681,0.88,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:27.447681,0.26,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:27.447681,0.9,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:28.454933,0.51,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:28.454933,0.07,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:28.454933,0.98,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:28.454933,0.91,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:29.461109,0.52,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:29.461109,0.0,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:29.461109,0.58,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:29.461109,0.11,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:30.468137,0.16,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:30.468137,0.78,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:30.468137,0.36,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:30.468137,0.93,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:31.474775,0.59,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:31.474775,0.6,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:31.474775,0.77,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:31.474775,0.08,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:32.487240,0.46,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:32.487240,0.71,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:32.487240,0.76,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:32.487240,0.35,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:33.494277,0.48,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:33.494277,0.98,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:33.494277,0.73,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:33.494277,0.99,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:34.500891,0.2,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:34.500891,0.85,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:34.500891,0.47,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:34.500891,0.66,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:35.507608,0.85,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:35.507608,0.35,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:35.507608,0.14,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:35.507608,0.52,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:36.515411,0.84,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:36.515411,0.79,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:36.515411,0.68,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:36.515411,0.48,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:37.521602,0.22,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:37.521602,0.4,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:37.521602,0.37,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:37.521602,0.85,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:38.528060,0.62,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:38.528060,0.36,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:38.528060,0.45,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:38.528060,0.33,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:39.536736,0.56,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:39.536736,0.95,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:39.536736,0.73,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:39.536736,0.27,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:40.549659,0.07,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:40.549659,0.2,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:40.549659,0.15,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:40.549659,0.98,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:41.559074,0.0,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:41.559074,0.85,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:41.559074,0.83,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:41.559074,0.43,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:42.566530,0.5,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:42.566530,0.48,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:42.566530,0.28,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:42.566530,0.88,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:43.574695,0.65,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:43.574695,0.96,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:43.574695,0.84,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:43.574695,0.55,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:44.581739,0.15,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:44.581739,0.54,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:44.581739,0.89,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:44.581739,0.58,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:45.588105,0.64,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:45.588105,0.96,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:45.588105,0.33,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:45.588105,0.38,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:46.595435,0.8,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:46.595435,0.06,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:46.595435,0.3,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:46.595435,0.73,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:47.601431,0.54,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:47.601431,0.13,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:47.601431,0.34,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:47.601431,1.0,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:48.610290,0.67,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:48.610290,0.85,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:48.610290,0.9,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:48.610290,0.16,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:49.617790,0.71,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:49.617790,0.4,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:49.617790,0.54,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:49.617790,0.26,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:50.624456,0.41,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:50.624456,0.32,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:50.624456,0.34,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:50.624456,0.23,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:51.631466,0.42,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:51.631466,0.69,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:51.631466,0.82,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:51.631466,0.27,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:52.638311,0.52,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:52.638311,0.24,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:52.638311,0.55,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:52.638311,0.67,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:53.648120,0.78,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:53.648120,0.8,0,1,22,1,2024,evening
